Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Sacks
Shawn Jennings,South Alabama,646,2021-22,1,[12],['09/18/2021'],['Alcorn'],[1.0]
Ke'Shun Brown,South Alabama,646,2021-22,1,[7],['10/30/2021'],['Arkansas St.'],[1.0]
CJ Rias,South Alabama,646,2021-22,2,"[2, 5]","['09/11/2021', '10/14/2021']","['Bowling Green', 'Ga. Southern']","[2.0, 1.0]"
Terry Perry,South Alabama,646,2021-22,2,"[5, 10]","['10/14/2021', '11/20/2021']","['Ga. Southern', 'Tennessee']","[1.0, 1.0]"
Carlos Johnson Jr.,South Alabama,646,2021-22,2,"[1, 10]","['09/04/2021', '11/20/2021']","['Southern Miss.', 'Tennessee']","[1.0, 1.0]"
Chris Henderson,South Alabama,646,2021-22,2,"[4, 7]","['10/09/2021', '10/30/2021']","['Texas St.', 'Arkansas St.']","[1.0, 1.0]"
Trey Kiser,South Alabama,646,2021-22,1,[6],['10/23/2021'],['ULM'],[1.0]
Jamall Hickbottom,South Alabama,646,2021-22,1,[5],['10/14/2021'],['Ga. Southern'],[1.0]
Wy'Kevious Thomas,South Alabama,646,2021-22,1,[3],['10/02/2021'],['Louisiana'],[1.0]
Charles Coleman III,South Alabama,646,2021-22,2,"[11, 12]","['11/26/2021', '09/18/2021']","['Coastal Carolina', 'Alcorn']","[1.5, 1.0]"
Gi'Narious Johnson,South Alabama,646,2021-22,1,[12],['09/18/2021'],['Alcorn'],[1.0]
Jamal Brooks,South Alabama,646,2021-22,1,[4],['10/09/2021'],['Texas St.'],[1.0]
Carlins Platel,South Carolina,648,2021-22,1,[6],['10/09/2021'],['Tennessee'],[1.0]
Jaylan Foster,South Carolina,648,2021-22,2,"[5, 6]","['10/02/2021', '10/09/2021']","['Troy', 'Tennessee']","[1.0, 1.0]"
Darius Rush,South Carolina,648,2021-22,1,[9],['11/06/2021'],['Florida'],[1.0]
Jordan Burch,South Carolina,648,2021-22,1,[9],['11/06/2021'],['Florida'],[1.0]
Zacch Pickens,South Carolina,648,2021-22,3,"[5, 6, 7]","['10/02/2021', '10/09/2021', '10/16/2021']","['Troy', 'Tennessee', 'Vanderbilt']","[1.0, 1.0, 1.0]"
Brad Johnson,South Carolina,648,2021-22,2,"[1, 2]","['09/04/2021', '09/11/2021']","['Eastern Ill.', 'East Carolina']","[1.0, 1.0]"
Jabari Ellis,South Carolina,648,2021-22,1,[13],['12/30/2021'],['North Carolina'],[1.0]
Damani Staley,South Carolina,648,2021-22,2,"[10, 13]","['11/13/2021', '12/30/2021']","['Missouri', 'North Carolina']","[1.0, 1.0]"
Kingsley Enagbare,South Carolina,648,2021-22,2,"[6, 7]","['10/09/2021', '10/16/2021']","['Tennessee', 'Vanderbilt']","[1.0, 1.0]"
Jahmar Brown,South Carolina,648,2021-22,1,[6],['10/09/2021'],['Tennessee'],[1.0]
Aaron Sterling,South Carolina,648,2021-22,2,"[2, 6]","['09/11/2021', '10/09/2021']","['East Carolina', 'Tennessee']","[1.0, 1.0]"
Jordan Strachan,South Carolina,648,2021-22,1,[13],['12/30/2021'],['North Carolina'],[1.5]
Blake Green,South Fla.,651,2021-22,1,[9],['11/06/2021'],['Houston'],[1.0]
Tramel Logan,South Fla.,651,2021-22,1,[10],['11/12/2021'],['Cincinnati'],[1.0]
Antonio Grier,South Fla.,651,2021-22,3,"[1, 7, 9]","['09/02/2021', '10/23/2021', '11/06/2021']","['NC State', 'Temple', 'Houston']","[1.0, 1.0, 1.0]"
Rashawn Yates,South Fla.,651,2021-22,1,[11],['11/20/2021'],['Tulane'],[1.0]
Kevin Kegler,South Fla.,651,2021-22,1,[8],['10/28/2021'],['East Carolina'],[1.0]
Kana'i Mauga,Southern California,657,2021-22,1,[3],['09/18/2021'],['Washington St.'],[1.0]
Korey Foreman,Southern California,657,2021-22,2,"[6, 10]","['10/09/2021', '12/04/2021']","['Utah', 'California']","[1.5, 1.0]"
Jacob Lichtenstein,Southern California,657,2021-22,3,"[5, 8, 10]","['10/02/2021', '10/30/2021', '12/04/2021']","['Colorado', 'Arizona', 'California']","[2.0, 1.0, 1.0]"
Drake Jackson,Southern California,657,2021-22,4,"[3, 5, 7, 8]","['09/18/2021', '10/02/2021', '10/23/2021', '10/30/2021']","['Washington St.', 'Colorado', 'Notre Dame', 'Arizona']","[1.0, 2.0, 1.0, 1.0]"
Chase Williams,Southern California,657,2021-22,1,[8],['10/30/2021'],['Arizona'],[1.0]
Chris Steele,Southern California,657,2021-22,1,[12],['11/27/2021'],['BYU'],[1.0]
Tuli Tuipulotu,Southern California,657,2021-22,3,"[8, 10, 11]","['10/30/2021', '12/04/2021', '11/20/2021']","['Arizona', 'California', 'UCLA']","[2.0, 1.0, 1.0]"
Richard Moore,SMU,663,2021-22,1,[8],['10/30/2021'],['Houston'],[1.0]
Nelson Paul,SMU,663,2021-22,1,[3],['09/18/2021'],['Louisiana Tech'],[1.0]
Elijah Chatman,SMU,663,2021-22,1,[10],['11/13/2021'],['UCF'],[2.0]
Isaac Slade-Matautia,SMU,663,2021-22,1,[9],['11/06/2021'],['Memphis'],[1.0]
DeVere Levelston,SMU,663,2021-22,3,"[8, 9, 10]","['10/30/2021', '11/06/2021', '11/13/2021']","['Houston', 'Memphis', 'UCF']","[1.0, 2.0, 3.0]"
Turner Coxe,SMU,663,2021-22,5,"[4, 7, 8, 9, 10]","['09/25/2021', '10/21/2021', '10/30/2021', '11/06/2021', '11/13/2021']","['TCU', 'Tulane', 'Houston', 'Memphis', 'UCF']","[2.0, 1.0, 1.0, 1.0, 1.0]"
Mike Williams,SMU,663,2021-22,1,[6],['10/09/2021'],['Navy'],[1.0]
Delano Robinson,SMU,663,2021-22,1,[5],['10/02/2021'],['South Fla.'],[1.0]
Gary Wiley,SMU,663,2021-22,2,"[5, 6]","['10/02/2021', '10/09/2021']","['South Fla.', 'Navy']","[1.0, 1.0]"
Isaiah Nwokobia,SMU,663,2021-22,1,[2],['09/11/2021'],['North Texas'],[1.0]
Josh Carr,Southern Miss.,664,2021-22,3,"[1, 2, 4]","['09/04/2021', '09/11/2021', '09/25/2021']","['South Alabama', 'Grambling', 'Alabama']","[1.0, 2.0, 1.0]"
Eriq Kitchen,Southern Miss.,664,2021-22,2,"[3, 7]","['09/18/2021', '10/16/2021']","['Troy', 'UAB']","[2.0, 1.0]"
Jay Stanley,Southern Miss.,664,2021-22,1,[5],['10/02/2021'],['Rice'],[1.0]
DaShawn Crawford,Southern Miss.,664,2021-22,1,[3],['09/18/2021'],['Troy'],[1.0]
Averie Habas,Southern Miss.,664,2021-22,1,[3],['09/18/2021'],['Troy'],[1.0]
Santrell Latham,Southern Miss.,664,2021-22,1,[12],['11/27/2021'],['FIU'],[1.0]
Everitt Cunningham,Southern Miss.,664,2021-22,1,[12],['11/27/2021'],['FIU'],[1.5]
Dominic Quewon,Southern Miss.,664,2021-22,2,"[10, 11]","['11/13/2021', '11/19/2021']","['UTSA', 'Louisiana Tech']","[1.0, 2.0]"
Rachuan Mitchell,Southern Miss.,664,2021-22,1,[8],['10/30/2021'],['Middle Tenn.'],[1.0]
T.Q. Newsome,Southern Miss.,664,2021-22,1,[12],['11/27/2021'],['FIU'],[1.5]
Hayes Maples,Southern Miss.,664,2021-22,1,[4],['09/25/2021'],['Alabama'],[1.0]
Kordell Rodgers,Texas St.,670,2021-22,1,[9],['11/06/2021'],['ULM'],[1.0]
Nico Ezidore,Texas St.,670,2021-22,1,[9],['11/06/2021'],['ULM'],[1.0]
Jordan Revels,Texas St.,670,2021-22,1,[12],['11/27/2021'],['Arkansas St.'],[1.0]
Samuel Obiang,Texas St.,670,2021-22,1,[4],['09/25/2021'],['Eastern Mich.'],[1.0]
London Harris,Texas St.,670,2021-22,1,[12],['11/27/2021'],['Arkansas St.'],[1.0]
Markeveon Coleman,Texas St.,670,2021-22,1,[12],['11/27/2021'],['Arkansas St.'],[1.0]
Issiah Nixon,Texas St.,670,2021-22,4,"[2, 3, 4, 9]","['09/11/2021', '09/18/2021', '09/25/2021', '11/06/2021']","['FIU', 'UIW', 'Eastern Mich.', 'ULM']","[1.0, 1.0, 1.0, 1.0]"
Nick McCann,Texas St.,670,2021-22,2,"[9, 12]","['11/06/2021', '11/27/2021']","['ULM', 'Arkansas St.']","[1.0, 1.0]"
Ferrod Gardner,Louisiana,671,2021-22,1,[7],['10/21/2021'],['Arkansas St.'],[1.0]
Kris Moncrief,Louisiana,671,2021-22,2,"[6, 10]","['10/12/2021', '11/13/2021']","['App State', 'Troy']","[1.0, 1.0]"
Ja-Quane Nelson,Louisiana,671,2021-22,1,[7],['10/21/2021'],['Arkansas St.'],[1.0]
Zi'Yon Hill-Green,Louisiana,671,2021-22,4,"[2, 4, 5, 6]","['09/11/2021', '09/25/2021', '10/02/2021', '10/12/2021']","['Nicholls', 'Ga. Southern', 'South Alabama', 'App State']","[1.0, 1.0, 1.0, 1.0]"
Kendall Wilkerson,Louisiana,671,2021-22,1,[4],['09/25/2021'],['Ga. Southern'],[1.0]
Jourdan Quibodeaux,Louisiana,671,2021-22,1,[11],['11/20/2021'],['Liberty'],[1.0]
AJ Riley,Louisiana,671,2021-22,2,"[1, 9]","['09/04/2021', '11/04/2021']","['Texas', 'Georgia St.']","[1.0, 2.0]"
Mason Narcisse,Louisiana,671,2021-22,1,[2],['09/11/2021'],['Nicholls'],[1.0]
Chauncey Manac,Louisiana,671,2021-22,6,"[5, 7, 10, 11, 12, 13]","['10/02/2021', '10/21/2021', '11/13/2021', '11/20/2021', '11/27/2021', '12/04/2021']","['South Alabama', 'Arkansas St.', 'Troy', 'Liberty', 'ULM', 'App State']","[1.0, 1.0, 1.0, 4.0, 1.0, 1.0]"
Asjlin Washington,Louisiana,671,2021-22,1,[1],['09/04/2021'],['Texas'],[1.0]
Andre Jones,Louisiana,671,2021-22,2,"[10, 11]","['11/13/2021', '11/20/2021']","['Troy', 'Liberty']","[1.0, 1.0]"
Sonny Hazard,Louisiana,671,2021-22,1,[3],['09/16/2021'],['Ohio'],[1.0]
Dalyn Wade-Perry,Stanford,674,2021-22,1,[1],['09/04/2021'],['Kansas St.'],[1.0]
Thomas Booker,Stanford,674,2021-22,1,[12],['09/25/2021'],['UCLA'],[1.5]
Levani Damuni,Stanford,674,2021-22,2,"[4, 6]","['10/02/2021', '10/16/2021']","['Oregon', 'Washington St.']","[1.0, 1.0]"
Jacob Mangum-Farrar,Stanford,674,2021-22,1,[5],['10/08/2021'],['Arizona St.'],[1.0]
Tucker Fisk,Stanford,674,2021-22,1,[5],['10/08/2021'],['Arizona St.'],[1.0]
Stephen Herron,Stanford,674,2021-22,2,"[3, 12]","['09/18/2021', '09/25/2021']","['Vanderbilt', 'UCLA']","[1.0, 1.0]"
Aaron Armitage,Stanford,674,2021-22,1,[11],['11/27/2021'],['Notre Dame'],[1.0]
Ricky Miezan,Stanford,674,2021-22,1,[12],['09/25/2021'],['UCLA'],[1.5]
Kendall Williamson,Stanford,674,2021-22,1,[11],['11/27/2021'],['Notre Dame'],[1.0]
Cody Roscoe,Syracuse,688,2021-22,4,"[3, 4, 6, 7]","['09/18/2021', '09/24/2021', '10/09/2021', '10/15/2021']","['UAlbany', 'Liberty', 'Wake Forest', 'Clemson']","[3.0, 2.0, 1.0, 1.0]"
Kingsley Jonathan,Syracuse,688,2021-22,2,"[5, 9]","['10/02/2021', '10/30/2021']","['Florida St.', 'Boston College']","[1.0, 3.0]"
Steve Linton,Syracuse,688,2021-22,1,[6],['10/09/2021'],['Wake Forest'],[1.0]
Marlowe Wax,Syracuse,688,2021-22,5,"[2, 3, 4, 8, 12]","['09/11/2021', '09/18/2021', '09/24/2021', '10/23/2021', '11/27/2021']","['Rutgers', 'UAlbany', 'Liberty', 'Virginia Tech', 'Pittsburgh']","[1.0, 1.0, 1.0, 1.0, 1.0]"
Terry Lockett Jr.,Syracuse,688,2021-22,2,"[3, 5]","['09/18/2021', '10/02/2021']","['UAlbany', 'Florida St.']","[1.0, 1.0]"
Stefon Thompson,Syracuse,688,2021-22,4,"[3, 7, 8, 9]","['09/18/2021', '10/15/2021', '10/23/2021', '10/30/2021']","['UAlbany', 'Clemson', 'Virginia Tech', 'Boston College']","[2.0, 1.0, 1.0, 1.5]"
Mikel Jones,Syracuse,688,2021-22,3,"[4, 10, 11]","['09/24/2021', '11/13/2021', '11/20/2021']","['Liberty', 'Louisville', 'NC State']","[2.0, 1.0, 1.0]"
McKinley Williams,Syracuse,688,2021-22,1,[2],['09/11/2021'],['Rutgers'],[1.0]
Rob Hanna,Syracuse,688,2021-22,1,[8],['10/23/2021'],['Virginia Tech'],[1.0]
Curtis Harper,Syracuse,688,2021-22,1,[3],['09/18/2021'],['UAlbany'],[1.0]
Kobe Wilson,Temple,690,2021-22,1,[4],['09/25/2021'],['Wagner'],[1.0]
Yvandy Rigby,Temple,690,2021-22,2,"[5, 6]","['10/02/2021', '10/08/2021']","['Memphis', 'Cincinnati']","[1.0, 1.0]"
M.J. Griffin,Temple,690,2021-22,1,[10],['11/13/2021'],['Houston'],[1.0]
Darian Varner,Temple,690,2021-22,2,"[4, 10]","['09/25/2021', '11/13/2021']","['Wagner', 'Houston']","[1.0, 2.0]"
Will Rodgers,Temple,690,2021-22,1,[2],['09/11/2021'],['Akron'],[1.0]
Layton Jordan,Temple,690,2021-22,1,[8],['10/30/2021'],['UCF'],[1.0]
William Kwenkeu,Temple,690,2021-22,2,"[2, 5]","['09/11/2021', '10/02/2021']","['Akron', 'Memphis']","[2.0, 1.0]"
Kevin Robertson,Temple,690,2021-22,1,[5],['10/02/2021'],['Memphis'],[1.0]
Manny Walker,Temple,690,2021-22,1,[3],['09/18/2021'],['Boston College'],[1.0]
Jaylen McCollough,Tennessee,694,2021-22,1,[12],['11/27/2021'],['Vanderbilt'],[1.0]
Doneiko Slaughter,Tennessee,694,2021-22,1,[3],['09/18/2021'],['Tennessee Tech'],[1.0]
Kurott Garland,Tennessee,694,2021-22,1,[11],['11/20/2021'],['South Alabama'],[1.0]
Omari Thomas,Tennessee,694,2021-22,1,[7],['10/16/2021'],['Ole Miss'],[1.0]
Morven Joseph,Tennessee,694,2021-22,1,[3],['09/18/2021'],['Tennessee Tech'],[1.0]
Byron Young,Tennessee,694,2021-22,3,"[8, 9, 10]","['10/23/2021', '11/06/2021', '11/13/2021']","['Alabama', 'Kentucky', 'Georgia']","[1.0, 2.0, 1.0]"
Aaron Beasley,Tennessee,694,2021-22,1,[7],['10/16/2021'],['Ole Miss'],[1.0]
Jeremy Banks,Tennessee,694,2021-22,4,"[2, 5, 6, 7]","['09/11/2021', '10/02/2021', '10/09/2021', '10/16/2021']","['Pittsburgh', 'Missouri', 'South Carolina', 'Ole Miss']","[1.0, 1.0, 1.5, 1.0]"
Ja'Quain Blakely,Tennessee,694,2021-22,1,[4],['09/25/2021'],['Florida'],[1.0]
Matthew Butler,Tennessee,694,2021-22,4,"[6, 7, 10, 11]","['10/09/2021', '10/16/2021', '11/13/2021', '11/20/2021']","['South Carolina', 'Ole Miss', 'Georgia', 'South Alabama']","[1.0, 2.0, 1.0, 1.0]"
Trevon Flowers,Tennessee,694,2021-22,1,[11],['11/20/2021'],['South Alabama'],[1.0]
Theo Jackson,Tennessee,694,2021-22,1,[2],['09/11/2021'],['Pittsburgh'],[1.0]
Tyler Baron,Tennessee,694,2021-22,2,"[6, 9]","['10/09/2021', '11/06/2021']","['South Carolina', 'Kentucky']","[1.0, 1.0]"
Roman Harrison,Tennessee,694,2021-22,1,[8],['10/23/2021'],['Alabama'],[1.0]
Da'Jon Terry,Tennessee,694,2021-22,1,[1],['09/02/2021'],['Bowling Green'],[1.0]
Caleb Tremblay,Tennessee,694,2021-22,1,[13],['12/30/2021'],['Purdue'],[1.0]
Tyree Johnson,Texas A&M,697,2021-22,4,"[6, 7, 8, 9]","['10/09/2021', '10/16/2021', '10/23/2021', '11/06/2021']","['Alabama', 'Missouri', 'South Carolina', 'Auburn']","[2.0, 1.0, 2.0, 2.0]"
Micheal Clemons,Texas A&M,697,2021-22,3,"[4, 5, 6]","['09/25/2021', '10/02/2021', '10/09/2021']","['Arkansas', 'Mississippi St.', 'Alabama']","[1.0, 1.0, 1.0]"
Aaron Hansford,Texas A&M,697,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['New Mexico', 'Arkansas']","[1.0, 1.0]"
Demani Richardson,Texas A&M,697,2021-22,2,"[9, 12]","['11/06/2021', '11/27/2021']","['Auburn', 'LSU']","[1.0, 1.0]"
Jayden Peevy,Texas A&M,697,2021-22,2,"[9, 11]","['11/06/2021', '11/20/2021']","['Auburn', 'Prairie View']","[1.0, 1.0]"
Jahzion Harris,Texas A&M,697,2021-22,1,[1],['09/04/2021'],['Kent St.'],[1.0]
Leon O'Neal,Texas A&M,697,2021-22,1,[6],['10/09/2021'],['Alabama'],[1.0]
Shemar Turner,Texas A&M,697,2021-22,1,[1],['09/04/2021'],['Kent St.'],[1.5]
Demarvin Leal,Texas A&M,697,2021-22,5,"[5, 7, 10, 11, 12]","['10/02/2021', '10/16/2021', '11/13/2021', '11/20/2021', '11/27/2021']","['Mississippi St.', 'Missouri', 'Ole Miss', 'Prairie View', 'LSU']","[2.0, 1.0, 1.0, 1.0, 1.0]"
Andre White Jr.,Texas A&M,697,2021-22,1,[2],['09/11/2021'],['Colorado'],[1.0]
Antonio Johnson,Texas A&M,697,2021-22,1,[11],['11/20/2021'],['Prairie View'],[1.0]
McKinnley Jackson,Texas A&M,697,2021-22,1,[8],['10/23/2021'],['South Carolina'],[1.0]
Fadil Diggs,Texas A&M,697,2021-22,1,[1],['09/04/2021'],['Kent St.'],[1.0]
La'Kendrick VanZandt,TCU,698,2021-22,1,[2],['09/11/2021'],['California'],[1.0]
Ochaun Mathis,TCU,698,2021-22,3,"[1, 6, 8]","['09/04/2021', '10/16/2021', '10/30/2021']","['Duquesne', 'Oklahoma', 'Kansas St.']","[1.0, 2.0, 1.0]"
Dee Winters,TCU,698,2021-22,1,[2],['09/11/2021'],['California'],[1.0]
Dylan Horton,TCU,698,2021-22,3,"[4, 11, 12]","['10/02/2021', '11/20/2021', '11/26/2021']","['Texas', 'Kansas', 'Iowa St.']","[2.0, 1.0, 1.0]"
Khari Coleman,TCU,698,2021-22,1,[5],['10/09/2021'],['Texas Tech'],[1.0]
Jamoi Hodge,TCU,698,2021-22,1,[8],['10/30/2021'],['Kansas St.'],[1.0]
Millard Bradford,TCU,698,2021-22,1,[9],['11/06/2021'],['Baylor'],[1.0]
Corey Bethley,TCU,698,2021-22,1,[7],['10/23/2021'],['West Virginia'],[1.0]
Troy Te'o,Texas Tech,700,2021-22,1,[2],['09/18/2021'],['FIU'],[1.0]
Jaylon Hutchings,Texas Tech,700,2021-22,2,"[1, 4]","['09/04/2021', '10/02/2021']","['Houston', 'West Virginia']","[1.0, 1.0]"
Colin Schooler,Texas Tech,700,2021-22,2,"[4, 13]","['10/02/2021', '12/28/2021']","['West Virginia', 'Mississippi St.']","[1.0, 1.0]"
Tony Bradford Jr.,Texas Tech,700,2021-22,2,"[11, 13]","['11/27/2021', '12/28/2021']","['Baylor', 'Mississippi St.']","[1.0, 1.0]"
Krishon Merriweather,Texas Tech,700,2021-22,1,[12],['09/11/2021'],['SFA'],[1.0]
Jacob Morgenstern,Texas Tech,700,2021-22,1,[2],['09/18/2021'],['FIU'],[1.0]
Tyree Wilson,Texas Tech,700,2021-22,5,"[1, 3, 7, 8, 13]","['09/04/2021', '09/25/2021', '10/23/2021', '10/30/2021', '12/28/2021']","['Houston', 'Texas', 'Kansas St.', 'Oklahoma', 'Mississippi St.']","[1.0, 1.0, 2.0, 1.0, 2.0]"
Riko Jeffers,Texas Tech,700,2021-22,1,[1],['09/04/2021'],['Houston'],[1.0]
Byron Murphy II,Texas,703,2021-22,2,"[3, 9]","['09/18/2021', '11/06/2021']","['Rice', 'Iowa St.']","[1.0, 1.0]"
T'Vondre Sweat,Texas,703,2021-22,1,[11],['11/20/2021'],['West Virginia'],[1.0]
DeMarvion Overshown,Texas,703,2021-22,1,[6],['10/09/2021'],['Oklahoma'],[1.0]
Ray Thornton,Texas,703,2021-22,1,[1],['09/04/2021'],['Louisiana'],[1.0]
D.J. Harris,Texas,703,2021-22,1,[3],['09/18/2021'],['Rice'],[1.0]
Anthony Cook,Texas,703,2021-22,1,[5],['10/02/2021'],['TCU'],[1.0]
Ben Davis,Texas,703,2021-22,2,"[6, 11]","['10/09/2021', '11/20/2021']","['Oklahoma', 'West Virginia']","[1.0, 1.0]"
Jett Bush,Texas,703,2021-22,1,[1],['09/04/2021'],['Louisiana'],[1.0]
Keondre Coburn,Texas,703,2021-22,1,[7],['10/16/2021'],['Oklahoma St.'],[1.0]
Ovie Oghoufo,Texas,703,2021-22,2,"[1, 3]","['09/04/2021', '09/18/2021']","['Louisiana', 'Rice']","[1.0, 1.0]"
David Gbenda,Texas,703,2021-22,1,[12],['11/26/2021'],['Kansas St.'],[1.0]
Alfred Collins,Texas,703,2021-22,2,"[4, 6]","['09/25/2021', '10/09/2021']","['Texas Tech', 'Oklahoma']","[1.0, 1.0]"
Torey Richardson,UTEP,704,2021-22,1,[13],['12/18/2021'],['Fresno St.'],[1.0]
Deylon Williams,UTEP,704,2021-22,1,[1],['08/28/2021'],['New Mexico St.'],[1.0]
James Neal,UTEP,704,2021-22,1,[1],['08/28/2021'],['New Mexico St.'],[1.0]
Keenan Stewart,UTEP,704,2021-22,2,"[2, 3]","['09/04/2021', '09/10/2021']","['Bethune-Cookman', 'Boise St.']","[1.0, 1.0]"
Tyrice Knight,UTEP,704,2021-22,1,[12],['11/26/2021'],['UAB'],[2.0]
Praise Amaewhule,UTEP,704,2021-22,3,"[4, 5, 6]","['09/25/2021', '10/02/2021', '10/09/2021']","['New Mexico', 'Old Dominion', 'Southern Miss.']","[1.0, 1.0, 1.0]"
Blake Thompson,UTEP,704,2021-22,1,[12],['11/26/2021'],['UAB'],[1.0]
Dennis Barnes,UTEP,704,2021-22,1,[5],['10/02/2021'],['Old Dominion'],[1.0]
Josh Ortega,UTEP,704,2021-22,1,[6],['10/09/2021'],['Southern Miss.'],[1.0]
Dy'vonne Inyang,UTEP,704,2021-22,1,[6],['10/09/2021'],['Southern Miss.'],[1.0]
Breon Hayward,UTEP,704,2021-22,1,[2],['09/04/2021'],['Bethune-Cookman'],[1.0]
Jadrian Taylor,UTEP,704,2021-22,2,"[6, 7]","['10/09/2021', '10/16/2021']","['Southern Miss.', 'Louisiana Tech']","[2.0, 3.5]"
Jahmal Sam,UTSA,706,2021-22,1,[8],['10/23/2021'],['Louisiana Tech'],[1.0]
Jaylon Haynes,UTSA,706,2021-22,1,[10],['11/13/2021'],['Southern Miss.'],[1.0]
DeQuarius Henry,UTSA,706,2021-22,1,[8],['10/23/2021'],['Louisiana Tech'],[1.0]
Clarence Hicks,UTSA,706,2021-22,3,"[8, 11, 13]","['10/23/2021', '11/20/2021', '12/03/2021']","['Louisiana Tech', 'UAB', 'Western Ky.']","[2.5, 2.0, 2.0]"
Corey Mayfield Jr.,UTSA,706,2021-22,1,[10],['11/13/2021'],['Southern Miss.'],[1.0]
Dru Prox,UTSA,706,2021-22,1,[5],['10/02/2021'],['UNLV'],[1.0]
Trumane Bell II,UTSA,706,2021-22,2,"[3, 5]","['09/18/2021', '10/02/2021']","['Middle Tenn.', 'UNLV']","[2.0, 1.0]"
Dadrian Taylor,UTSA,706,2021-22,1,[5],['10/02/2021'],['UNLV'],[2.0]
Trevor Harmanson,UTSA,706,2021-22,1,[7],['10/16/2021'],['Rice'],[1.0]
Lorenzo Dantzler,UTSA,706,2021-22,2,"[5, 11]","['10/02/2021', '11/20/2021']","['UNLV', 'UAB']","[1.0, 1.0]"
Charles Wiley,UTSA,706,2021-22,3,"[3, 7, 13]","['09/18/2021', '10/16/2021', '12/03/2021']","['Middle Tenn.', 'Rice', 'Western Ky.']","[1.5, 1.0, 1.0]"
Judge Culpepper,Toledo,709,2021-22,2,"[8, 11]","['10/23/2021', '11/16/2021']","['Western Mich.', 'Ohio']","[1.0, 1.0]"
Terrance Taylor,Toledo,709,2021-22,2,"[2, 4]","['09/11/2021', '09/25/2021']","['Notre Dame', 'Ball St.']","[2.0, 1.0]"
Justin Clark,Toledo,709,2021-22,1,[12],['11/27/2021'],['Akron'],[1.0]
D'Andre Ragin,Toledo,709,2021-22,1,[11],['11/16/2021'],['Ohio'],[1.5]
Dyontae Johnson,Toledo,709,2021-22,2,"[9, 10]","['11/02/2021', '11/10/2021']","['Eastern Mich.', 'Bowling Green']","[1.0, 1.0]"
Maxen Hook,Toledo,709,2021-22,1,[7],['10/16/2021'],['Central Mich.'],[1.0]
Desjuan Johnson,Toledo,709,2021-22,2,"[8, 9]","['10/23/2021', '11/02/2021']","['Western Mich.', 'Eastern Mich.']","[1.0, 1.5]"
Nate Givhan,Toledo,709,2021-22,3,"[2, 4, 13]","['09/11/2021', '09/25/2021', '12/17/2021']","['Notre Dame', 'Ball St.', 'Middle Tenn.']","[1.0, 1.0, 2.0]"
Tycen Anderson,Toledo,709,2021-22,1,[10],['11/10/2021'],['Bowling Green'],[1.0]
Jonathan Jones,Toledo,709,2021-22,2,"[2, 5]","['09/11/2021', '10/02/2021']","['Notre Dame', 'Massachusetts']","[1.0, 1.0]"
Nate Bauer,Toledo,709,2021-22,1,[11],['11/16/2021'],['Ohio'],[1.0]
Quinyon Mitchell,Toledo,709,2021-22,1,[2],['09/11/2021'],['Notre Dame'],[1.0]
Jamal Hines,Toledo,709,2021-22,6,"[4, 6, 9, 10, 11, 12]","['09/25/2021', '10/09/2021', '11/02/2021', '11/10/2021', '11/16/2021', '11/27/2021']","['Ball St.', 'NIU', 'Eastern Mich.', 'Bowling Green', 'Ohio', 'Akron']","[1.0, 1.0, 1.5, 2.0, 1.0, 2.5]"
TJ Harris,Troy,716,2021-22,2,"[6, 7]","['10/09/2021', '10/16/2021']","['Ga. Southern', 'Texas St.']","[2.0, 2.0]"
Will Choloh,Troy,716,2021-22,2,"[1, 2]","['09/04/2021', '09/11/2021']","['Southern U.', 'Liberty']","[1.0, 2.5]"
Richard Jibunor,Troy,716,2021-22,5,"[2, 3, 5, 6, 7]","['09/11/2021', '09/18/2021', '10/02/2021', '10/09/2021', '10/16/2021']","['Liberty', 'Southern Miss.', 'South Carolina', 'Ga. Southern', 'Texas St.']","[1.0, 2.5, 1.5, 1.0, 2.0]"
Luis Medina,Troy,716,2021-22,1,[3],['09/18/2021'],['Southern Miss.'],[1.0]
Javon Solomon,Troy,716,2021-22,4,"[3, 4, 5, 6]","['09/18/2021', '09/25/2021', '10/02/2021', '10/09/2021']","['Southern Miss.', 'ULM', 'South Carolina', 'Ga. Southern']","[3.5, 2.0, 1.0, 1.0]"
Jayden McDonald,Troy,716,2021-22,1,[6],['10/09/2021'],['Ga. Southern'],[1.0]
Carlton Martial,Troy,716,2021-22,2,"[3, 12]","['09/18/2021', '11/27/2021']","['Southern Miss.', 'Georgia St.']","[1.0, 1.0]"
Elgin Griffin,Troy,716,2021-22,2,"[3, 6]","['09/18/2021', '10/09/2021']","['Southern Miss.', 'Ga. Southern']","[1.0, 1.0]"
Devan Barrett,Troy,716,2021-22,1,[10],['11/13/2021'],['Louisiana'],[1.0]
Antonio Showers,Troy,716,2021-22,1,[12],['11/27/2021'],['Georgia St.'],[1.0]
Alfred Thomas,Tulane,718,2021-22,1,[2],['09/11/2021'],['Morgan St.'],[1.0]
Nick Anderson,Tulane,718,2021-22,4,"[8, 9, 10, 11]","['10/30/2021', '11/06/2021', '11/13/2021', '11/20/2021']","['Cincinnati', 'UCF', 'Tulsa', 'South Fla.']","[1.0, 1.0, 1.0, 1.0]"
