Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
1107.0,183.0,Tyrone Howell,ULM,498,2023-24,3,"[1, 4, 8]","['09/02/2023', '09/30/2023', '10/28/2023']","['Army West Point', 'App State', 'Arkansas St.']","[9.0, 8.0, 5.0]"
2185.0,380.0,Alred Luke,ULM,498,2023-24,1,[7],['10/21/2023'],['Ga. Southern'],[7.0]
2185.0,380.0,NyNy Davis,ULM,498,2023-24,1,[1],['09/02/2023'],['Army West Point'],[5.0]
565.0,88.0,Trayvon Rudolph,NIU,503,2023-24,5,"[8, 9, 10, 11, 13]","['10/21/2023', '10/31/2023', '11/07/2023', '11/14/2023', '12/23/2023']","['Eastern Mich.', 'Central Mich.', 'Ball St.', 'Western Mich.', 'Arkansas St.']","[7.0, 8.0, 6.0, 5.0, 5.0]"
1107.0,183.0,Kacper Rutkiewicz,NIU,503,2023-24,3,"[2, 3, 5]","['09/02/2023', '09/09/2023', '09/30/2023']","['Boston College', 'Southern Ill.', 'Toledo']","[5.0, 6.0, 5.0]"
2185.0,380.0,Antario Brown,NIU,503,2023-24,1,[7],['10/14/2023'],['Ohio'],[5.0]
2185.0,380.0,Gavin Williams,NIU,503,2023-24,1,[3],['09/09/2023'],['Southern Ill.'],[5.0]
2185.0,380.0,Grayson Barnes,NIU,503,2023-24,1,[13],['12/23/2023'],['Arkansas St.'],[5.0]
783.0,126.0,A.J. Henning,Northwestern,509,2023-24,4,"[3, 11, 12, 13]","['09/23/2023', '09/16/2023', '10/28/2023', '12/23/2023']","['Minnesota', 'Duke', 'Maryland', 'Utah']","[5.0, 5.0, 5.0, 6.0]"
783.0,126.0,Cam Johnson,Northwestern,509,2023-24,4,"[2, 7, 9, 11]","['11/11/2023', '11/25/2023', '09/30/2023', '09/16/2023']","['Wisconsin', 'Illinois', 'Penn St.', 'Duke']","[6.0, 7.0, 6.0, 5.0]"
1528.0,263.0,Bryce Kirtz,Northwestern,509,2023-24,2,"[3, 13]","['09/23/2023', '12/23/2023']","['Minnesota', 'Utah']","[10.0, 5.0]"
